epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2759,1.18307,3.19654,1.31086,0.00489,0.96429,0.43738,0.32983,1.02814,3.52597,1.19186,3.334e-05,3.334e-05,3.334e-05
2,24.8835,1.20575,3.179,1.31418,0.00478,0.97619,0.67894,0.53166,0.81078,3.39908,1.0694,8.25248e-05,8.25248e-05,8.25248e-05
3,36.6528,1.08669,2.75011,1.26742,0.0047,0.97619,0.87052,0.69906,0.76522,3.3486,1.03248,0.000130719,0.000130719,0.000130719
4,48.3099,1.08352,2.40106,1.28873,0.00475,0.97619,0.87854,0.71723,0.73591,3.27726,0.98806,0.000177924,0.000177924,0.000177924
5,59.8822,0.95369,1.76886,1.13003,0.00487,0.97619,0.88286,0.69463,0.76809,3.0788,1.02674,0.000224138,0.000224138,0.000224138
6,71.6396,1.00658,1.48479,1.19649,1,0.19211,0.89253,0.71492,0.73213,2.95306,1.04688,0.000269362,0.000269362,0.000269362
7,83.34,1.04347,1.42696,1.2165,0.97877,0.63374,0.90421,0.74166,0.81748,2.64767,1.11095,0.000313596,0.000313596,0.000313596
8,94.9545,0.91114,1.55368,1.12099,1,0.66435,0.90631,0.75664,0.78059,2.57032,1.13784,0.00035684,0.00035684,0.00035684
9,106.705,0.90199,1.27396,1.09523,0.92038,0.47063,0.89137,0.73684,0.74747,2.70783,1.07805,0.000399093,0.000399093,0.000399093
10,118.316,0.80877,1.2723,1.04579,0.96336,0.45518,0.90505,0.75533,0.7823,2.69628,1.05327,0.000440356,0.000440356,0.000440356
11,130.124,0.85857,1.30777,1.0487,0.91298,0.54686,0.92348,0.7451,0.86201,2.44752,1.11715,0.000480629,0.000480629,0.000480629
12,141.652,0.8339,1.2104,1.07478,0.86755,0.53394,0.91316,0.73147,0.81656,2.25841,1.11541,0.000519912,0.000519912,0.000519912
13,153.427,0.96346,1.30726,1.09836,0.88296,0.72598,0.90554,0.66663,0.77345,2.17063,1.1013,0.000558205,0.000558205,0.000558205
14,165.03,0.98923,1.15525,1.16115,0.87744,0.77282,0.91338,0.70585,0.80809,2.12139,1.10672,0.000595507,0.000595507,0.000595507
15,176.811,0.91428,1.13945,1.11115,0.95809,0.7856,0.92124,0.70079,0.84768,2.21727,1.06681,0.00063182,0.00063182,0.00063182
16,188.634,0.98554,1.30716,1.10796,0.94534,0.63701,0.91955,0.66833,0.88523,2.30707,1.12086,0.000667142,0.000667142,0.000667142
17,200.263,0.97672,1.26441,1.09319,0.84144,0.57049,0.86209,0.57294,1.09418,2.46154,1.54658,0.000701474,0.000701474,0.000701474
18,212.092,0.92098,1.35392,1.08109,0.82116,0.78571,0.87466,0.59388,1.08315,2.5205,1.53143,0.000734815,0.000734815,0.000734815
19,223.759,0.99709,1.23455,1.08427,0.90681,0.81565,0.89734,0.60626,1.01371,2.376,1.40308,0.000767167,0.000767167,0.000767167
20,235.371,0.88464,1.17898,1.0915,0.88678,0.72215,0.88541,0.57954,1.01484,2.51611,1.27384,0.000798528,0.000798528,0.000798528
21,247.15,1.06628,1.39374,1.24092,0.89799,0.75928,0.87662,0.54081,1.25716,2.61483,1.54875,0.000828899,0.000828899,0.000828899
22,258.713,1.01926,1.38787,1.24498,0.83337,0.75812,0.83692,0.52366,1.30919,2.90638,1.74627,0.00085828,0.00085828,0.00085828
23,270.308,1.00251,1.24909,1.18462,0.8625,0.73331,0.86889,0.57914,1.44469,2.61275,1.96752,0.000886671,0.000886671,0.000886671
24,282.189,0.92613,1.17068,1.12441,0.82934,0.80261,0.88869,0.63101,1.12214,2.36524,1.54479,0.000914071,0.000914071,0.000914071
25,293.791,0.99842,1.19844,1.16181,0.92129,0.83584,0.88885,0.65593,1.01353,2.25361,1.38183,0.000940481,0.000940481,0.000940481
26,305.454,0.99319,1.38659,1.2251,0.79979,0.75,0.82201,0.56764,1.06671,2.37035,1.44085,0.000965901,0.000965901,0.000965901
27,316.875,0.89594,1.25598,1.08232,0.79863,0.65476,0.7455,0.52702,1.14209,2.47995,1.49477,0.000990331,0.000990331,0.000990331
28,328.465,0.94384,1.23322,1.13863,0.65164,0.67813,0.68686,0.46609,1.2106,2.60952,1.62164,0.00101377,0.00101377,0.00101377
29,341.417,0.98954,1.20121,1.16404,0.65164,0.67813,0.68686,0.46609,1.2106,2.60952,1.62164,0.00103622,0.00103622,0.00103622
30,353.136,0.89564,1.17163,1.13723,0.7043,0.74548,0.8023,0.5557,1.03269,2.22928,1.49786,0.00105768,0.00105768,0.00105768
31,364.623,0.93615,1.10164,1.10131,0.87592,0.7442,0.84845,0.57191,0.98978,2.01797,1.34501,0.00107815,0.00107815,0.00107815
32,376.057,0.88956,1.13206,1.14322,0.81695,0.7745,0.83993,0.60217,0.85347,1.85884,1.14692,0.00109763,0.00109763,0.00109763
33,387.335,0.85586,1.10965,1.12889,0.81695,0.7745,0.83993,0.60217,0.85347,1.85884,1.14692,0.00111612,0.00111612,0.00111612
34,398.827,0.85859,1.05461,1.0423,0.81992,0.80496,0.84646,0.61927,0.7955,1.74556,1.10714,0.00112239,0.00112239,0.00112239
35,410.212,0.9433,1.13214,1.09527,0.82754,0.85068,0.86741,0.63831,0.79782,1.7195,1.07664,0.00110589,0.00110589,0.00110589
36,421.547,0.81257,1.06025,1.03499,0.71981,0.77381,0.82621,0.56134,0.92878,1.87195,1.21255,0.00108938,0.00108938,0.00108938
37,432.797,0.89367,1.10288,1.06828,0.71981,0.77381,0.82621,0.56134,0.92878,1.87195,1.21255,0.00107288,0.00107288,0.00107288
38,444.051,0.93528,1.07887,1.1624,0.58115,0.78571,0.77629,0.57933,0.86115,2.1998,1.15329,0.00105638,0.00105638,0.00105638
39,455.221,0.92423,1.15375,1.16294,0.77479,0.75,0.86577,0.67899,0.82624,1.77757,1.06823,0.00103987,0.00103987,0.00103987
40,466.759,0.77345,0.95509,1.01304,0.8052,0.90029,0.93858,0.68985,0.81626,1.58703,1.04951,0.00102337,0.00102337,0.00102337
41,477.771,0.78515,1.08175,1.08919,0.8052,0.90029,0.93858,0.68985,0.81626,1.58703,1.04951,0.00100687,0.00100687,0.00100687
42,489.12,0.78584,1.02082,1.06362,0.80578,0.87767,0.93316,0.74289,0.90028,1.80813,1.11807,0.000990365,0.000990365,0.000990365
43,500.229,0.83898,1.00444,1.09451,0.85177,0.93937,0.98065,0.77791,0.91466,1.77819,1.17076,0.000973861,0.000973861,0.000973861
44,511.614,0.78212,1.01747,1.05896,0.91841,0.9371,0.99,0.8182,0.86435,1.44177,1.10134,0.000957358,0.000957358,0.000957358
45,522.844,0.71971,0.90711,1.04336,0.91841,0.9371,0.99,0.8182,0.86435,1.44177,1.10134,0.000940855,0.000940855,0.000940855
46,534.026,0.85548,0.95583,1.03389,0.95662,0.90581,0.98842,0.84622,0.82052,1.33778,1.09972,0.000924352,0.000924352,0.000924352
47,545.221,0.80029,1.143,1.03703,0.91631,0.9881,0.98793,0.83968,0.71743,1.34888,0.98938,0.000907848,0.000907848,0.000907848
48,556.301,0.85418,1.00022,1.15504,0.90349,0.97619,0.98207,0.82079,0.77286,1.36438,0.99685,0.000891345,0.000891345,0.000891345
49,567.415,0.86173,0.99434,1.1,0.90349,0.97619,0.98207,0.82079,0.77286,1.36438,0.99685,0.000874842,0.000874842,0.000874842
50,578.722,0.89324,0.95733,1.04983,0.92517,0.97067,0.98981,0.84199,0.71721,1.28473,0.9641,0.000858338,0.000858338,0.000858338
51,590.081,0.87755,1.01193,1.11682,0.92897,0.95238,0.99072,0.84671,0.69937,1.27595,0.96522,0.000841835,0.000841835,0.000841835
52,601.413,0.80762,0.94297,1.06263,0.92077,0.97005,0.98848,0.84365,0.74433,1.2088,0.99686,0.000825332,0.000825332,0.000825332
53,612.588,0.75926,0.91452,1.04021,0.92077,0.97005,0.98848,0.84365,0.74433,1.2088,0.99686,0.000808828,0.000808828,0.000808828
54,624.148,0.6915,0.86874,1.01397,0.94038,0.94048,0.98959,0.8425,0.74069,1.2627,0.99687,0.000792325,0.000792325,0.000792325
55,635.517,0.73776,0.8519,1.03939,0.92855,0.9881,0.98679,0.85497,0.76548,1.17989,1.01001,0.000775822,0.000775822,0.000775822
56,646.975,0.86972,0.93144,1.14207,0.95093,0.98137,0.98717,0.83471,0.79088,1.23009,1.03043,0.000759318,0.000759318,0.000759318
57,658.22,0.72386,0.84185,1.02775,0.95093,0.98137,0.98717,0.83471,0.79088,1.23009,1.03043,0.000742815,0.000742815,0.000742815
58,669.874,0.79356,0.91467,1.07225,0.92189,0.96008,0.97601,0.81756,0.74653,1.22068,0.9997,0.000726312,0.000726312,0.000726312
59,681.198,0.72236,0.90617,1.02965,0.92098,0.98637,0.97681,0.80192,0.72846,1.16216,0.96969,0.000709809,0.000709809,0.000709809
60,693.253,0.72192,0.88428,1.01613,0.86465,0.96429,0.94673,0.80109,0.67597,1.0762,0.95493,0.000693305,0.000693305,0.000693305
61,704.903,0.75659,0.86007,1.03933,0.86465,0.96429,0.94673,0.80109,0.67597,1.0762,0.95493,0.000676802,0.000676802,0.000676802
62,716.824,0.7205,0.92074,1.04645,0.9848,0.95653,0.99325,0.82718,0.58939,1.00233,0.92592,0.000660299,0.000660299,0.000660299
63,729.383,0.84909,0.89307,1.08484,0.9531,0.97619,0.98993,0.85588,0.61899,1.00393,0.9156,0.000643795,0.000643795,0.000643795
64,740.541,0.77229,0.79722,0.99057,0.98117,0.95911,0.99165,0.87034,0.63604,1.0355,0.91558,0.000627292,0.000627292,0.000627292
65,751.59,0.69239,0.81622,0.97831,0.98117,0.95911,0.99165,0.87034,0.63604,1.0355,0.91558,0.000610789,0.000610789,0.000610789
66,762.895,0.82808,0.88867,1.10122,0.99633,0.96429,0.99295,0.89097,0.53671,0.96513,0.88765,0.000594286,0.000594286,0.000594286
67,774.076,0.73689,0.78593,0.9822,0.99893,0.97305,0.99453,0.90942,0.49612,0.89279,0.89418,0.000577782,0.000577782,0.000577782
68,785.107,0.70656,0.83336,1.02996,1,0.97159,0.99311,0.90017,0.50525,0.95665,0.91957,0.000561279,0.000561279,0.000561279
69,796.374,0.73908,0.75805,0.97415,1,0.97159,0.99311,0.90017,0.50525,0.95665,0.91957,0.000544776,0.000544776,0.000544776
70,807.455,0.67074,0.76076,0.98573,0.99606,0.98572,0.99477,0.90431,0.54341,0.93066,0.9336,0.000528272,0.000528272,0.000528272
71,818.632,0.62249,0.75851,0.96858,0.99197,0.98742,0.99477,0.89096,0.56282,0.93808,0.93659,0.000511769,0.000511769,0.000511769
72,829.565,0.75062,0.93248,1.05126,0.97217,0.99616,0.99453,0.89187,0.56626,0.9146,0.95363,0.000495266,0.000495266,0.000495266
73,840.566,0.75027,0.78015,1.02282,0.97217,0.99616,0.99453,0.89187,0.56626,0.9146,0.95363,0.000478762,0.000478762,0.000478762
74,851.51,0.75195,0.81706,1.04992,0.96729,0.99742,0.99395,0.88731,0.55977,0.8949,0.93243,0.000462259,0.000462259,0.000462259
75,862.688,0.71521,0.81556,1.02906,0.96763,1,0.99395,0.88838,0.54932,0.89344,0.90515,0.000445756,0.000445756,0.000445756
76,873.913,0.6692,0.75301,0.97745,0.98246,0.99469,0.995,0.89828,0.53984,0.86513,0.89214,0.000429253,0.000429253,0.000429253
77,884.9,0.56611,0.72126,0.98245,0.98246,0.99469,0.995,0.89828,0.53984,0.86513,0.89214,0.000412749,0.000412749,0.000412749
78,895.892,0.64101,0.7499,0.98047,0.98212,0.9962,0.995,0.91111,0.51515,0.82367,0.8938,0.000396246,0.000396246,0.000396246
79,907.138,0.64194,0.70491,1.00568,0.98769,0.98416,0.99477,0.91035,0.51701,0.84161,0.9064,0.000379743,0.000379743,0.000379743
80,918.199,0.64496,0.76419,0.9575,0.98967,0.9856,0.99477,0.91374,0.51295,0.87271,0.91514,0.000363239,0.000363239,0.000363239
81,929.321,0.62465,0.70575,0.91759,0.98967,0.9856,0.99477,0.91374,0.51295,0.87271,0.91514,0.000346736,0.000346736,0.000346736
82,940.434,0.69769,0.76764,1.03763,0.96728,0.99789,0.99453,0.91494,0.51462,0.88002,0.91167,0.000330233,0.000330233,0.000330233
83,951.732,0.60764,0.6948,0.95795,0.96796,0.9979,0.99453,0.91638,0.50213,0.8617,0.8968,0.000313729,0.000313729,0.000313729
84,962.864,0.6979,0.7818,1.00082,0.96872,0.99867,0.99453,0.92853,0.49483,0.85899,0.88669,0.000297226,0.000297226,0.000297226
85,973.775,0.5616,0.73469,0.98132,0.96872,0.99867,0.99453,0.92853,0.49483,0.85899,0.88669,0.000280723,0.000280723,0.000280723
86,984.827,0.60108,0.71281,0.95268,0.96936,1,0.99453,0.93169,0.47659,0.83913,0.87704,0.00026422,0.00026422,0.00026422
87,995.907,0.58218,0.71057,0.96456,0.97981,1,0.995,0.93278,0.46929,0.82692,0.86698,0.000247716,0.000247716,0.000247716
88,1007.56,0.58506,0.66196,0.97382,0.98213,1,0.995,0.93453,0.4736,0.8204,0.86986,0.000231213,0.000231213,0.000231213
89,1018.81,0.53241,0.61603,0.91485,0.98213,1,0.995,0.93453,0.4736,0.8204,0.86986,0.00021471,0.00021471,0.00021471
90,1030.37,0.55705,0.66927,0.95113,0.98346,1,0.995,0.93418,0.46189,0.80078,0.86475,0.000198206,0.000198206,0.000198206
91,1042.02,0.52254,0.84111,0.92756,0.98469,0.99998,0.995,0.92834,0.45866,0.78847,0.8612,0.000181703,0.000181703,0.000181703
92,1053.28,0.46819,0.77835,0.86511,0.98536,1,0.995,0.9327,0.46247,0.78637,0.86483,0.0001652,0.0001652,0.0001652
93,1064.64,0.51897,0.87077,0.90589,0.98536,1,0.995,0.9327,0.46247,0.78637,0.86483,0.000148696,0.000148696,0.000148696
94,1076.12,0.45858,0.77887,0.89668,0.98587,1,0.995,0.94137,0.46421,0.78834,0.86677,0.000132193,0.000132193,0.000132193
95,1087.74,0.45683,0.76601,0.88159,0.98597,0.99935,0.995,0.93326,0.46853,0.79055,0.86926,0.00011569,0.00011569,0.00011569
96,1099.69,0.44641,0.78819,0.8661,0.98606,0.99989,0.995,0.92642,0.46575,0.78911,0.86665,9.91865e-05,9.91865e-05,9.91865e-05
97,1110.74,0.51996,0.752,0.84763,0.98606,0.99989,0.995,0.92642,0.46575,0.78911,0.86665,8.26832e-05,8.26832e-05,8.26832e-05
98,1121.78,0.45648,0.76105,0.85786,0.9866,1,0.995,0.93012,0.46428,0.7964,0.86543,6.61799e-05,6.61799e-05,6.61799e-05
99,1133.4,0.45625,0.72107,0.86071,0.98724,1,0.995,0.93644,0.45552,0.79593,0.86263,4.96766e-05,4.96766e-05,4.96766e-05
100,1144.47,0.4593,0.78741,0.86964,0.98756,1,0.995,0.93606,0.45101,0.79854,0.86199,3.31733e-05,3.31733e-05,3.31733e-05
